Labor Requirements,Equipment Usage,Material Quantities,Project Duration (days),Resource Allocation Efficiency,Schedule Optimization,Computation Time (CT),Best Cost (BC),Evaluation Metric (Nfe),Mean Resource Demand,SD of Resource Demand,Risk Level
152,21,752.6665777140795,291,79.74003968617633,0,119.10543025075502,900197.6304147325,180,78.02824233001543,10.530458811970284,0
142,17,1463.8639534207844,348,71.33219049699723,1,153.1381432594762,1056578.103505488,182,90.14440525911948,15.429263890997845,2
64,20,1639.016491884299,341,91.47078013428509,0,101.54188827566809,308387.776484143,290,98.22557846893687,12.600627480421906,0
156,12,1250.667963696112,278,75.89792627596367,1,233.62285633173605,541262.7664409773,295,90.8835809552514,15.87690127559819,2
121,23,1313.5454974696074,318,80.54444186177298,0,125.27661322539139,1142575.672615903,207,93.69485335273288,12.613283959409019,1
70,22,1927.2178394989867,181,70.13428680238646,1,304.7957815132597,536249.6318249627,277,90.42426325560247,19.84957969625831,0
152,5,1770.7510420588612,191,99.50638369365006,0,170.68685535749452,237357.08459651493,180,66.72844369734166,13.097281837275318,1
171,18,1871.3547739272049,274,71.65982963694891,0,383.07224321055315,677989.6389983975,204,93.34296438582948,12.41960635674496,2
124,23,1720.6494324793796,338,90.82970123622206,1,361.37548821959575,220440.0698099084,159,67.8043528009684,12.78465290915346,2
137,19,663.3775127700972,359,77.09982601427036,1,186.83226849046247,323138.56260065176,279,95.70445312176588,18.964728572592954,1
166,22,723.4877839552921,490,68.2486962033656,1,334.96463639700363,1198150.6322280525,164,78.34599592324304,16.362188286693446,2
149,6,1289.9356959034394,464,91.98875055859445,1,340.9734713994419,695498.9022357452,152,87.07907009244114,17.306840974207766,1
153,26,869.1044881969974,262,73.34427156116172,0,395.9689342343231,412464.22794447193,192,79.88963391522574,19.180105100943504,2
180,21,1215.0432125617388,147,94.60773389591245,0,279.3519960537055,1194252.4500312966,216,63.75963717666408,19.118724848450075,2
199,22,1091.5479857275254,428,96.61028739671292,0,124.58972039309866,1163214.8104106574,205,71.6288923048266,17.389458465787275,0
102,10,1324.12135764568,427,94.39295341565104,1,294.0511686779143,584812.9451926899,212,99.34927415988024,11.97824428841323,1
51,23,1620.313574203734,215,61.400316592272226,0,287.49392451281057,386443.41966669925,164,98.4285900667927,18.433733206750055,2
137,8,1573.2363606489116,436,91.49493380020422,0,291.5051732261295,1022239.601901409,258,72.8194759062219,12.037760341910637,1
87,5,1281.8511987280015,436,76.45357865996576,1,192.14369443126344,887182.7886689643,265,99.85187216980904,17.42898814098432,0
179,12,1733.590128225587,468,94.94891680728901,1,357.9038755240999,855635.5785038613,241,93.82204781987599,16.856030665448742,1
70,27,1146.29313730705,324,85.51817050738956,0,387.8416548866236,1082425.1154547199,287,84.4383799772902,17.588888501404465,0
107,11,1845.0714347601836,451,93.34572536575834,1,165.31375389344547,858358.8472584571,196,61.60498481044038,15.326856807138157,1
71,7,606.9204050827459,427,79.97727079467342,0,126.44564744099334,412177.73734570405,206,96.05787318153517,16.387261822492196,1
138,14,1931.9900450499613,246,81.40102018395731,0,158.36050995054524,863249.4780633055,199,82.2971711705728,19.533200804342552,0
98,14,1482.0396221470223,162,65.7755052853467,1,346.16564177671563,436394.86241203034,220,94.73904604811078,11.01088594174215,2
108,23,1070.1117634058078,393,91.35949434757421,0,302.9933904459542,935162.8776226946,292,93.37716479622969,13.0884727478162,2
64,18,795.731189859316,422,76.77558446667886,1,290.814202701738,781722.6399407226,295,93.32024860804344,16.113570130983824,2
100,6,1218.7748441653998,424,80.0032047308633,1,220.53794053282735,185152.70718322563,231,87.9269544285962,19.640541301314894,1
157,5,791.8374847779514,112,91.40390856382831,0,273.34839145343074,664118.8986786562,265,71.65660554704195,10.95574447662601,1
104,27,749.4974116147132,288,83.95381600317756,0,192.36223758231023,477631.066115315,254,73.44641030978079,10.225492215300864,2
113,27,1426.0276361194615,386,68.0439490977067,0,243.16002382538838,461427.69600552367,237,72.33876850330745,10.55749598470328,1
180,22,1284.627086872677,307,83.60930636603571,1,337.9189085111968,762481.932614983,151,60.801839981302585,10.524056864611989,1
100,11,1505.1440519164125,213,76.30531431918624,0,394.37247923663864,454557.3069163674,253,83.30275636859244,19.078158577774044,2
184,12,1894.4088161329837,121,78.78102168175451,1,379.74667707694056,954583.1230253599,233,87.95334681784132,17.212579079338248,0
70,5,1298.3903200085601,448,61.13245097610671,1,380.1597828538746,177870.57961229188,192,94.15463974100814,16.771063661962785,1
122,29,1371.3980798941966,313,68.40117398065127,0,220.6671204541337,826427.077635408,220,65.60661733530921,15.225728202618095,1
67,27,634.4395087324132,270,71.24152325524113,1,240.63696415203728,990114.2840224154,243,81.76732595907207,17.81952616972152,1
181,7,1576.4536788629443,422,88.51840031435223,0,311.69061891069447,840114.8589124731,191,60.320325626951316,11.556479927615907,1
138,28,1099.8578102062343,153,60.45969893192461,0,376.6575784153853,646952.1145219953,282,63.80374590842918,13.919411897884373,0
109,27,1965.0878579938683,493,76.35109044916528,0,142.5982778056254,1145337.7151097993,288,62.168469768239724,14.900042507643434,2
63,12,1734.7610233934904,397,96.96107481702931,0,191.27255914815873,429932.33877786994,214,89.01912136061948,11.104094976767263,1
58,26,1283.7215607741775,419,64.47522466196496,0,141.77405337823285,121084.67627747555,183,63.24238255510413,14.19513709337517,2
139,29,684.8339812582491,225,80.65697552874444,0,283.6025589878366,575188.3086097849,269,88.6581192623516,13.165017792626204,1
102,19,1789.1236899208836,376,91.46089529563389,0,191.89029906626126,136313.12949035998,150,69.98498817642334,10.355821457934626,0
179,9,1699.6716431360326,303,97.70125230080467,1,197.83235575377205,1149330.4277790496,279,95.10851842787758,11.367354027292352,2
133,7,776.8776943055495,293,89.87106558134872,0,121.27478784639376,330909.8503228567,297,92.52599953455257,17.640368231674717,0
141,23,942.9174338304651,268,88.82262194577625,1,204.93881854227757,967819.7263437675,210,98.31320869901106,10.180379095046444,1
160,5,1690.110887221756,251,93.0595236078305,1,358.7489522204756,952029.2914918014,298,95.35048061832128,19.342532990963612,0
57,19,777.8426698211144,134,77.84804883910175,1,169.9218435672505,339501.78965122683,237,97.3331767646539,10.864246324472374,0
84,12,1876.628733757066,283,92.23378130471332,0,308.5562398630197,783349.1835281841,217,94.34969586053231,17.992380942034583,1
130,6,1136.791137794543,385,60.318576189818046,1,288.8885034815778,152886.86533509524,276,87.73527602459421,18.986165409434708,1
